{'t': '26.90', 'h': '51.30', 'time': '1657533249.49'}
{'t': '26.80', 'h': '51.40', 'time': '1657533254.62'}
{'t': '26.80', 'h': '51.60', 'time': '1657533259.73'}
{'t': '26.80', 'h': '51.40', 'time': '1657533264.85'}
{'t': '26.80', 'h': '51.30', 'time': '1657533269.98'}
{'t': '26.80', 'h': '51.30', 'time': '1657533275.09'}
{'t': '26.80', 'h': '51.40', 'time': '1657533280.21'}
{'t': '26.80', 'h': '51.40', 'time': '1657533285.44'}
{'t': '26.80', 'h': '51.30', 'time': '1657533290.46'}
{'t': '26.80', 'h': '51.10', 'time': '1657533295.62'}
{'t': '26.80', 'h': '51.00', 'time': '1657533300.69'}
{'t': '26.80', 'h': '50.80', 'time': '1657533305.81'}
{'t': '26.80', 'h': '50.60', 'time': '1657533310.94'}
{'t': '26.80', 'h': '50.60', 'time': '1657533316.05'}
{'t': '26.80', 'h': '50.50', 'time': '1657533321.17'}
{'t': '26.80', 'h': '50.40', 'time': '1657533326.3'}
{'t': '26.80', 'h': '50.40', 'time': '1657533331.42'}
{'t': '26.70', 'h': '50.30', 'time': '1657533336.54'}
{'t': '26.70', 'h': '50.10', 'time': '1657533341.65'}
{'t': '26.80', 'h': '50.00', 'time': '1657533346.77'}
{'t': '26.80', 'h': '50.10', 'time': '1657533351.89'}
{'t': '26.80', 'h': '50.20', 'time': '1657533357.01'}
{'t': '26.80', 'h': '50.40', 'time': '1657533362.04'}
{'t': '26.70', 'h': '50.50', 'time': '1657533367.15'}
{'t': '26.70', 'h': '50.50', 'time': '1657533372.27'}
{'t': '26.70', 'h': '51.00', 'time': '1657533377.4'}
{'t': '26.70', 'h': '51.20', 'time': '1657533382.52'}
{'t': '26.70', 'h': '51.30', 'time': '1657533387.64'}
{'t': '26.70', 'h': '51.20', 'time': '1657533392.76'}
{'t': '26.70', 'h': '51.20', 'time': '1657533397.87'}
{'t': '26.70', 'h': '51.00', 'time': '1657533403.0'}
{'t': '26.70', 'h': '51.00', 'time': '1657533408.12'}
{'t': '26.70', 'h': '51.20', 'time': '1657533413.24'}
{'t': '26.70', 'h': '51.20', 'time': '1657533418.35'}
{'t': '26.60', 'h': '51.00', 'time': '1657533423.47'}
{'t': '26.70', 'h': '51.10', 'time': '1657533428.59'}
{'t': '26.60', 'h': '51.10', 'time': '1657533433.71'}
{'t': '26.60', 'h': '50.90', 'time': '1657533438.83'}
{'t': '26.70', 'h': '51.00', 'time': '1657533443.95'}
{'t': '26.60', 'h': '51.10', 'time': '1657533449.07'}
{'t': '26.60', 'h': '51.10', 'time': '1657533454.2'}
{'t': '26.70', 'h': '51.10', 'time': '1657533459.32'}
{'t': '26.60', 'h': '51.10', 'time': '1657533464.43'}
{'t': '26.70', 'h': '51.20', 'time': '1657533469.56'}
{'t': '26.60', 'h': '50.80', 'time': '1657533474.68'}
{'t': '26.60', 'h': '51.00', 'time': '1657533479.8'}
{'t': '26.60', 'h': '51.30', 'time': '1657533484.92'}
{'t': '26.60', 'h': '51.20', 'time': '1657533490.04'}
{'t': '26.60', 'h': '51.10', 'time': '1657533495.16'}
{'t': '26.60', 'h': '51.30', 'time': '1657533500.28'}
{'t': '26.60', 'h': '51.50', 'time': '1657533505.4'}
{'t': '26.60', 'h': '51.50', 'time': '1657533510.52'}
{'t': '26.60', 'h': '51.40', 'time': '1657533515.64'}
{'t': '26.60', 'h': '51.30', 'time': '1657533520.76'}
{'t': '26.60', 'h': '51.30', 'time': '1657533525.88'}
{'t': '26.60', 'h': '51.40', 'time': '1657533531.0'}
{'t': '26.60', 'h': '51.60', 'time': '1657533536.12'}
{'t': '26.60', 'h': '51.50', 'time': '1657533541.24'}
{'t': '26.60', 'h': '51.40', 'time': '1657533546.28'}
{'t': '26.60', 'h': '51.30', 'time': '1657533551.38'}
{'t': '26.60', 'h': '51.20', 'time': '1657533556.5'}
{'t': '26.60', 'h': '51.50', 'time': '1657533561.61'}
{'t': '26.60', 'h': '51.50', 'time': '1657533566.74'}
{'t': '26.60', 'h': '51.40', 'time': '1657533571.86'}
{'t': '26.60', 'h': '51.30', 'time': '1657533576.97'}
{'t': '26.60', 'h': '51.40', 'time': '1657533582.1'}
{'t': '26.60', 'h': '51.30', 'time': '1657533587.22'}
{'t': '26.60', 'h': '50.90', 'time': '1657533592.34'}
{'t': '26.60', 'h': '50.90', 'time': '1657533597.56'}
